Wiki1k:wikipedia:19179592:59:2	For example , the marine archaean Cenarchaeum symbiosum lives within -LRB- is an endosymbiont of -RRB- the sponge Axinella mexicana .
Wiki1k:wikinews:749788:8:0	Liam `` had his whole life in front of him '' , said Detective Inspector Andy Logan , who was the senior investigator of his murder .
Wiki1k:wikipedia:56285:61:1	The Rehabilitation Act of 1973 has not only helped protect U.S citizens from being discriminated against but it has also created confidence amongst individuals to feel more comfortable with their disability .
Wiki1k:wikipedia:11625:76:1	He tells of meeting old school friends , who are in secure positions and treat him with condescension .
Wiki1k:wikinews:762751:3:1	Obama instructed Eric Holder , the US attorney general , to ensure the ruling is implemented in federal law .
Wiki1k:wikinews:1201955:0:1	He was 57 and had terminal lung cancer .
Wiki1k:wikinews:506304:3:0	A nurse at a senior activity center in Austin told media she 'd taken time to educate their facility 's clients about the virus and proper precautions ; Adding , `` They feel less alarmed and we try to protect our folks here -LSB- ... -RSB- '' .
Wiki1k:wikipedia:16016:90:8	Each of the twenty-four tirthankara is associated with distinctive emblems , which are listed in such texts as Tiloyapannati , Kahavaali and Pravacanasaarodhara .
Wiki1k:wikipedia:44911:50:0	In languages accented on one of the last three syllables , the last syllable is called the ultima , the next-to-last is called the penult , and the third syllable from the end is called the antepenult .
Wiki1k:wikinews:1910958:2:0	Investigators are focusing on the ATR 72-600 's engines .
Wiki1k:wikinews:609824:2:4	They were successfully removed and both Almonte and Collins were arrested .
Wiki1k:wikinews:1641340:1:0	Griffin was BNP chairman until July , when he quit the role and became honorary president ; acting chairman Adam Walker took his place .
Wiki1k:wikipedia:10396793:17:0	The most notorious of these physicians was Josef Mengele , who worked in Auschwitz .
Wiki1k:wikinews:1852403:1:0	US Ambassador to France Jane D. Hartley attended .
Wiki1k:wikipedia:14914:3:3	GDP per capita was broadly stable before the Industrial Revolution and the emergence of the modern capitalist economy , while the Industrial Revolution began an era of per-capita economic growth in capitalist economies .
Wiki1k:wikipedia:30598:15:0	A passenger train is one which includes passenger-carrying vehicles which can often be very long and fast .
Wiki1k:wikipedia:9223:29:0	For a given market of a commodity , demand is the relation of the quantity that all buyers would be prepared to purchase at each unit price of the good .
Wiki1k:wikinews:715678:2:1	This is bureaucracy gone wild -- the Minister wants to remove the crossing because he does n't like some pictures that people have been taking .
Wiki1k:wikinews:844279:6:2	In the mean time , much stronger friction over land quickly reduces their strength .
Wiki1k:wikipedia:19048:67:3	Well known examples include the condensation of the Higgs boson in particle physics , and ferromagnetism in condensed matter physics .
Wiki1k:wikipedia:51518:13:0	In the Netherlands , a low-lying country , dams were often applied to block rivers in order to regulate the water level and to prevent the sea from entering the marsh lands .
Wiki1k:wikinews:711152:0:0	David Miliband , former UK Foreign secretary , announced today he is standing down as an MP to take the job of President and Chief Executive of the International Rescue Committee , a non-profit aid organisation based in New York City .
Wiki1k:wikinews:1792869:2:2	In Germany publishers willingly forfeited their right to payment from Google , given how much traffic they would lose from not being indexed on Google News .
Wiki1k:wikinews:2144299:0:0	Major general Fuad Basya , spokesman for the Indonesian military , said fisherman first noticed the people and a warship was deployed to retrieve them .
Wiki1k:wikipedia:11657:40:1	Through research and studying the consumers ' lives the needs of the customer can be obtained and help fashion brands know what trends the consumers are ready for .
Wiki1k:wikipedia:6678:41:0	Although wildcats are solitary , the social behavior of domestic cats is much more variable and ranges from widely dispersed individuals to feral cat colonies that form around a food source , based on groups of co-operating females .
Wiki1k:wikinews:1513141:1:0	Russia also said the exercises were to include an array of fighters , bombers and helicopters , and told Interfax the purpose of the exercises is to improve air force cohesion .
Wiki1k:wikinews:844279:15:2	Cyclones of this level of intensity -LRB- as measured by top wind speed and central pressure value -RRB- are very , very rare .
Wiki1k:wikipedia:26743:81:1	Freud postulated the concept of `` vaginal orgasm '' as separate from clitoral orgasm , achieved by external stimulation of the clitoris .
Wiki1k:wikinews:512000:1:3	Armstrong used an emergency set of thrusters to regain control ; Gemini VIII then landed in the Pacific Ocean after ten hours of flight .
Wiki1k:wikinews:1361108:3:5	`` He was an incredibly positive young man and a credit to his family , to Burntwood and to humanity itself .
Wiki1k:wikipedia:21019:11:3	At this time Michelangelo studied the robust reliefs carved by Jacopo della Quercia around main portal of the Basilica of St Petronius , including the panel of The Creation of Eve the composition of which was to reappear on the Sistine Chapel ceiling .
Wiki1k:wikipedia:56285:55:0	The Paralympics developed from a rehabilitation programme for British war veterans with spinal injuries .
Wiki1k:wikipedia:803:113:3	This in turn can be made into a nisbah adjective ishtirākī ` socialist ' , from which an abstract noun ishtirākiyyah ` socialism ' can be derived .
Wiki1k:wikipedia:10823:29:2	Chopin was reportedly unimpressed with the composition .
Wiki1k:wikipedia:25202:39:0	In Niels Bohr 's mature view , quantum mechanical phenomena are required to be experiments , with complete descriptions of all the devices for the system , preparative , intermediary , and finally measuring .
Wiki1k:wikinews:777636:2:0	A handful of opponents of the Bill spoke during the debate including Lord Cormack , who said : `` Those who support the Bill have won ; there is no doubt about that .
Wiki1k:wikipedia:13543:86:1	This periodisation has been criticised for the misconceptions it has given rise to .
Wiki1k:wikinews:1255035:95:0	MD : Well , I 've not actively sought higher office .
Wiki1k:wikipedia:5416:132:3	Musacchio notes a number of differences between today 's state capitalism and its predecessors .
Wiki1k:wikinews:571821:5:2	The United Nations headquarters in New York have also been shut down .
Wiki1k:wikipedia:25439083:65:0	When Timur captured the Ottoman Sultan Bayezid at Ankara , he was often praised and seen as a trusted ally by European rulers such as Charles VI of France and Henry IV of England because they believed he was saving Christianity from the Turkish Empire in the Middle East .
Wiki1k:wikipedia:19555586:8:1	For example , if one car traveling east at 60 km/h passes another car traveling east at 50 km/h , then from the perspective of the slower car , the faster car is traveling east at 60 − 50 = 10 km/h .
